Extracting principal variation (PV) with 33 plays ... done!
Algorithm: Scout
Moving along PV:
34. White moves: value=-4, #expanded=0, #generated=0, seconds=0, #generated/second=-nan
33. Black moves: value=-4, #expanded=1, #generated=1, seconds=0, #generated/second=inf
32. White moves: value=-4, #expanded=3, #generated=4, seconds=0, #generated/second=inf
31. Black moves: value=-4, #expanded=4, #generated=5, seconds=0, #generated/second=inf
30. White moves: value=-4, #expanded=14, #generated=17, seconds=0, #generated/second=inf
29. Black moves: value=-4, #expanded=15, #generated=18, seconds=0, #generated/second=inf
28. White moves: value=-4, #expanded=26, #generated=31, seconds=0, #generated/second=inf
27. Black moves: value=-4, #expanded=64, #generated=81, seconds=0, #generated/second=inf
26. White moves: value=-4, #expanded=314, #generated=391, seconds=0, #generated/second=inf
25. Black moves: value=-4, #expanded=1334, #generated=1708, seconds=0.003947, #generated/second=432734
24. White moves: value=-4, #expanded=2011, #generated=2572, seconds=0, #generated/second=inf
23. Black moves: value=-4, #expanded=3232, #generated=4080, seconds=0.005927, #generated/second=688375
22. White moves: value=-4, #expanded=10214, #generated=13138, seconds=0.005905, #generated/second=2.22489e+06
21. Black moves: value=-4, #expanded=42358, #generated=54072, seconds=0.019866, #generated/second=2.72184e+06
20. White moves: value=-4, #expanded=68853, #generated=88618, seconds=0.031839, #generated/second=2.78332e+06
19. Black moves: value=-4, #expanded=157458, #generated=203803, seconds=0.074005, #generated/second=2.75391e+06
18. White moves: value=-4, #expanded=497954, #generated=647676, seconds=0.2356, #generated/second=2.74905e+06
17. Black moves: value=-4, #expanded=911296, #generated=1188365, seconds=0.425328, #generated/second=2.794e+06
16. White moves: value=-4, #expanded=6096169, #generated=7980413, seconds=2.86768, #generated/second=2.78288e+06
15. Black moves: value=-4, #expanded=23572285, #generated=30933281, seconds=10.9197, #generated/second=2.8328e+06
14. White moves: value=-4, #expanded=57114374, #generated=74551538, seconds=26.6099, #generated/second=2.80165e+06
13. Black moves: value=-4, #expanded=211427675, #generated=276871500, seconds=95.2193, #generated/second=2.90773e+06
12. White moves: value=-4, #expanded=545805549, #generated=713154919, seconds=246.425, #generated/second=2.894e+06
